SUBGRAPH with N=24000 (6 of 4000x4000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 2048 kB
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
device 4 | 0 run | time (s): 0.1420
device 3 | 0 run | time (s): 0.1370
device 7 | 0 run | time (s): 0.1430
device 0 | 0 run | time (s): 0.1409
device 1 | 0 run | time (s): 0.1447
device 6 | 0 run | time (s): 0.1446
device 5 | 0 run | time (s): 0.1242
device 2 | 0 run | time (s): 0.1446
device 6 | 1 run | time (s): 0.1347
device 4 | 1 run | time (s): 0.1480
device 5 | 1 run | time (s): 0.1268
device 7 | 1 run | time (s): 0.1400
device 1 | 1 run | time (s): 0.1400
device 0 | 1 run | time (s): 0.1194
device 2 | 1 run | time (s): 0.1168
device 3 | 1 run | time (s): 0.1347
device 5 | 2 run | time (s): 0.1491
device 4 | 2 run | time (s): 0.1595
device 6 | 2 run | time (s): 0.1400
device 1 | 2 run | time (s): 0.1584
device 2 | 2 run | time (s): 0.1554
device 0 | 2 run | time (s): 0.1498
device 7 | 2 run | time (s): 0.1491
device 3 | 2 run | time (s): 0.1491
device 3 | 3 run | time (s): 0.1392
device 1 | 3 run | time (s): 0.1392
device 2 | 3 run | time (s): 0.1489
device 6 | 3 run | time (s): 0.1479
device 7 | 3 run | time (s): 0.1392
device 5 | 3 run | time (s): 0.1392
device 0 | 3 run | time (s): 0.1430
device 4 | 3 run | time (s): 0.1283
device 4 | 4 run | time (s): 0.1442
device 6 | 4 run | time (s): 0.1622
device 7 | 4 run | time (s): 0.1400
device 2 | 4 run | time (s): 0.1500
device 1 | 4 run | time (s): 0.1540
device 0 | 4 run | time (s): 0.1571
device 5 | 4 run | time (s): 0.1482
device 3 | 4 run | time (s): 0.1482
device 3 | 5 run | time (s): 0.1709
device 2 | 5 run | time (s): 0.1739
device 1 | 5 run | time (s): 0.1719
device 7 | 5 run | time (s): 0.1739
device 5 | 5 run | time (s): 0.1709
device 4 | 5 run | time (s): 0.1660
device 0 | 5 run | time (s): 0.1607
device 6 | 5 run | time (s): 0.1590
device 2 | 6 run | time (s): 0.1380
device 1 | 6 run | time (s): 0.1420
device 4 | 6 run | time (s): 0.1393
device 5 | 6 run | time (s): 0.1492
device 0 | 6 run | time (s): 0.1492
device 6 | 6 run | time (s): 0.1320
device 7 | 6 run | time (s): 0.1393
device 3 | 6 run | time (s): 0.1393
device 7 | 7 run | time (s): 0.1496
device 4 | 7 run | time (s): 0.1400
device 5 | 7 run | time (s): 0.1496
device 6 | 7 run | time (s): 0.1460
device 2 | 7 run | time (s): 0.1400
device 0 | 7 run | time (s): 0.1487
device 3 | 7 run | time (s): 0.1234
device 1 | 7 run | time (s): 0.1460
device 1 | 8 run | time (s): 0.1373
device 2 | 8 run | time (s): 0.1599
device 5 | 8 run | time (s): 0.1373
device 4 | 8 run | time (s): 0.1400
device 0 | 8 run | time (s): 0.1291
device 6 | 8 run | time (s): 0.1373
device 7 | 8 run | time (s): 0.1373
device 3 | 8 run | time (s): 0.1400
device 2 | 9 run | time (s): 0.1679
device 1 | 9 run | time (s): 0.1637
device 3 | 9 run | time (s): 0.1660
device 7 | 9 run | time (s): 0.1659
device 6 | 9 run | time (s): 0.1637
device 0 | 9 run | time (s): 0.1620
device 4 | 9 run | time (s): 0.1559
device 5 | 9 run | time (s): 0.1637
device 2 | 10 run | time (s): 0.1620
device 7 | 10 run | time (s): 0.1735
device 0 | 10 run | time (s): 0.1720
device 3 | 10 run | time (s): 0.1735
device 6 | 10 run | time (s): 0.1736
device 1 | 10 run | time (s): 0.1735
device 5 | 10 run | time (s): 0.1736
device 4 | 10 run | time (s): 0.1736
Total time used (s): 1.6411
Total time used (s): 1.6318
Total time used (s): 1.6213
Total time used (s): 1.6574
Total time used (s): 1.6708
Total time used (s): 1.6319
Total time used (s): 1.6507
Total time used (s): 1.6365
