SUBGRAPH with N=24000 (8 of 3000x3000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 2048 kB
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
device 2 | 0 run | time (s): 0.1564
device 1 | 0 run | time (s): 0.1400
device 4 | 0 run | time (s): 0.1500
device 0 | 0 run | time (s): 0.1574
device 5 | 0 run | time (s): 0.1508
device 3 | 0 run | time (s): 0.1502
device 5 | 1 run | time (s): 0.1315
device 4 | 1 run | time (s): 0.1305
device 1 | 1 run | time (s): 0.1156
device 3 | 1 run | time (s): 0.1295
device 0 | 1 run | time (s): 0.1271
device 2 | 1 run | time (s): 0.1251
device 2 | 2 run | time (s): 0.1660
device 0 | 2 run | time (s): 0.1590
device 1 | 2 run | time (s): 0.1566
device 5 | 2 run | time (s): 0.1565
device 4 | 2 run | time (s): 0.1555
device 3 | 2 run | time (s): 0.1566
device 1 | 3 run | time (s): 0.1345
device 3 | 3 run | time (s): 0.1140
device 2 | 3 run | time (s): 0.1325
device 0 | 3 run | time (s): 0.1290
device 4 | 3 run | time (s): 0.1218
device 5 | 3 run | time (s): 0.1217
device 4 | 4 run | time (s): 0.1160
device 3 | 4 run | time (s): 0.1354
device 5 | 4 run | time (s): 0.1250
device 0 | 4 run | time (s): 0.1330
device 2 | 4 run | time (s): 0.1251
device 1 | 4 run | time (s): 0.1251
device 5 | 5 run | time (s): 0.1416
device 4 | 5 run | time (s): 0.1308
device 0 | 5 run | time (s): 0.1250
device 3 | 5 run | time (s): 0.1307
device 2 | 5 run | time (s): 0.1307
device 1 | 5 run | time (s): 0.1308
device 1 | 6 run | time (s): 0.1357
device 5 | 6 run | time (s): 0.1347
device 0 | 6 run | time (s): 0.1360
device 3 | 6 run | time (s): 0.1340
device 2 | 6 run | time (s): 0.1340
device 4 | 6 run | time (s): 0.1253
device 1 | 7 run | time (s): 0.1370
device 2 | 7 run | time (s): 0.1240
device 3 | 7 run | time (s): 0.1347
device 5 | 7 run | time (s): 0.1266
device 4 | 7 run | time (s): 0.1266
device 0 | 7 run | time (s): 0.1366
device 2 | 8 run | time (s): 0.1460
device 3 | 8 run | time (s): 0.1436
device 4 | 8 run | time (s): 0.1400
device 0 | 8 run | time (s): 0.1500
device 5 | 8 run | time (s): 0.1436
device 1 | 8 run | time (s): 0.1436
device 3 | 9 run | time (s): 0.1406
device 5 | 9 run | time (s): 0.1386
device 0 | 9 run | time (s): 0.1397
device 4 | 9 run | time (s): 0.1362
device 1 | 9 run | time (s): 0.1362
device 2 | 9 run | time (s): 0.1262
device 2 | 10 run | time (s): 0.1538
device 3 | 10 run | time (s): 0.1400
device 4 | 10 run | time (s): 0.1500
device 5 | 10 run | time (s): 0.1487
device 0 | 10 run | time (s): 0.1378
device 1 | 10 run | time (s): 0.1487
Total time used (s): 1.5095
Total time used (s): 1.5305
Total time used (s): 1.5038
Total time used (s): 1.4826
Total time used (s): 1.5193
Total time used (s): 1.5199
