SUBGRAPH with N=72000 (6 of 12000x12000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 2048 kB
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
WARN: init failed for remote transport: ibrc
device 1 | 0 run | time (s): 3.2100
device 2 | 0 run | time (s): 3.2100
device 0 | 0 run | time (s): 3.2457
device 3 | 0 run | time (s): 3.2066
device 2 | 1 run | time (s): 2.9617
device 0 | 1 run | time (s): 2.9950
device 3 | 1 run | time (s): 2.9558
device 1 | 1 run | time (s): 2.9558
device 3 | 2 run | time (s): 3.3162
device 1 | 2 run | time (s): 3.3162
device 0 | 2 run | time (s): 3.3459
device 2 | 2 run | time (s): 3.3240
device 1 | 3 run | time (s): 3.3006
device 0 | 3 run | time (s): 3.3525
device 3 | 3 run | time (s): 3.3211
device 2 | 3 run | time (s): 3.2914
device 0 | 4 run | time (s): 2.9141
device 3 | 4 run | time (s): 2.8705
device 2 | 4 run | time (s): 2.8605
device 1 | 4 run | time (s): 2.8605
device 3 | 5 run | time (s): 2.9746
device 0 | 5 run | time (s): 3.0371
device 2 | 5 run | time (s): 2.9700
device 1 | 5 run | time (s): 2.9720
device 2 | 6 run | time (s): 3.1870
device 1 | 6 run | time (s): 3.1929
device 0 | 6 run | time (s): 3.2370
device 3 | 6 run | time (s): 3.1909
device 0 | 7 run | time (s): 2.9603
device 3 | 7 run | time (s): 2.9268
device 2 | 7 run | time (s): 2.9320
device 1 | 7 run | time (s): 2.9398
device 1 | 8 run | time (s): 3.0320
device 0 | 8 run | time (s): 3.0692
device 2 | 8 run | time (s): 3.0299
device 3 | 8 run | time (s): 3.0199
device 1 | 9 run | time (s): 3.0749
device 3 | 9 run | time (s): 3.0683
device 0 | 9 run | time (s): 3.1206
device 2 | 9 run | time (s): 3.0866
device 0 | 10 run | time (s): 3.4631
device 3 | 10 run | time (s): 3.4203
device 1 | 10 run | time (s): 3.4351
device 2 | 10 run | time (s): 3.4234
Total time used (s): 34.2897
Total time used (s): 34.2764
Total time used (s): 34.2710
Total time used (s): 34.7405
