SUBGRAPH with N=12000 (6 of 2000x2000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 4 kB
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
device 0 | 0 run | time (s): 0.2176
device 0 | 1 run | time (s): 0.2201
device 0 | 2 run | time (s): 0.2283
device 0 | 3 run | time (s): 0.2093
device 0 | 4 run | time (s): 0.2131
device 0 | 5 run | time (s): 0.2159
device 0 | 6 run | time (s): 0.2133
device 0 | 7 run | time (s): 0.2091
device 0 | 8 run | time (s): 0.2110
device 0 | 9 run | time (s): 0.2238
device 0 | 10 run | time (s): 0.2241
Total time used (s): 2.3856
