SUBGRAPH with N=24000 (6 of 4000x4000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 16 kB
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
device 0 | 0 run | time (s): 0.3727
device 1 | 0 run | time (s): 0.3686
device 1 | 1 run | time (s): 0.3459
device 0 | 1 run | time (s): 0.3529
device 1 | 2 run | time (s): 0.3353
device 0 | 2 run | time (s): 0.3384
device 1 | 3 run | time (s): 0.3400
device 0 | 3 run | time (s): 0.3448
device 1 | 4 run | time (s): 0.3414
device 0 | 4 run | time (s): 0.3434
device 1 | 5 run | time (s): 0.3344
device 0 | 5 run | time (s): 0.3619
device 1 | 6 run | time (s): 0.3383
device 0 | 6 run | time (s): 0.3318
device 0 | 7 run | time (s): 0.3445
device 1 | 7 run | time (s): 0.3404
device 0 | 8 run | time (s): 0.3500
device 1 | 8 run | time (s): 0.3454
device 1 | 9 run | time (s): 0.3464
device 0 | 9 run | time (s): 0.3407
device 1 | 10 run | time (s): 0.3363
device 0 | 10 run | time (s): 0.3403
Total time used (s): 3.7725
Total time used (s): 3.8215
