SUBGRAPH with N=24000 (6 of 4000x4000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 16 kB
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
device 1 | 0 run | time (s): 0.1810
device 5 | 0 run | time (s): 0.2020
device 3 | 0 run | time (s): 0.1951
device 4 | 0 run | time (s): 0.1932
device 0 | 0 run | time (s): 0.1856
device 2 | 0 run | time (s): 0.1951
device 5 | 1 run | time (s): 0.1867
device 3 | 1 run | time (s): 0.2020
device 4 | 1 run | time (s): 0.1967
device 0 | 1 run | time (s): 0.1906
device 1 | 1 run | time (s): 0.1917
device 2 | 1 run | time (s): 0.1679
device 1 | 2 run | time (s): 0.2006
device 2 | 2 run | time (s): 0.2020
device 3 | 2 run | time (s): 0.2020
device 0 | 2 run | time (s): 0.2056
device 5 | 2 run | time (s): 0.1961
device 4 | 2 run | time (s): 0.1996
device 1 | 3 run | time (s): 0.1927
device 3 | 3 run | time (s): 0.1937
device 2 | 3 run | time (s): 0.1927
device 4 | 3 run | time (s): 0.1927
device 0 | 3 run | time (s): 0.1860
device 5 | 3 run | time (s): 0.1771
device 1 | 4 run | time (s): 0.1952
device 3 | 4 run | time (s): 0.1932
device 0 | 4 run | time (s): 0.1950
device 5 | 4 run | time (s): 0.1885
device 2 | 4 run | time (s): 0.1885
device 4 | 4 run | time (s): 0.1755
device 4 | 5 run | time (s): 0.1967
device 5 | 5 run | time (s): 0.1967
device 1 | 5 run | time (s): 0.1908
device 2 | 5 run | time (s): 0.1965
device 0 | 5 run | time (s): 0.2077
device 3 | 5 run | time (s): 0.1888
device 1 | 6 run | time (s): 0.1737
device 2 | 6 run | time (s): 0.1737
device 4 | 6 run | time (s): 0.1737
device 3 | 6 run | time (s): 0.1737
device 0 | 6 run | time (s): 0.1747
device 5 | 6 run | time (s): 0.1586
device 4 | 7 run | time (s): 0.1909
device 1 | 7 run | time (s): 0.1910
device 5 | 7 run | time (s): 0.1799
device 3 | 7 run | time (s): 0.1818
device 2 | 7 run | time (s): 0.1818
device 0 | 7 run | time (s): 0.1857
device 3 | 8 run | time (s): 0.1870
device 2 | 8 run | time (s): 0.1864
device 4 | 8 run | time (s): 0.1880
device 0 | 8 run | time (s): 0.1964
device 1 | 8 run | time (s): 0.1849
device 5 | 8 run | time (s): 0.1849
device 5 | 9 run | time (s): 0.2020
device 4 | 9 run | time (s): 0.1982
device 0 | 9 run | time (s): 0.1918
device 1 | 9 run | time (s): 0.1982
device 2 | 9 run | time (s): 0.1982
device 3 | 9 run | time (s): 0.1982
device 2 | 10 run | time (s): 0.1892
device 1 | 10 run | time (s): 0.1780
device 4 | 10 run | time (s): 0.1840
device 0 | 10 run | time (s): 0.1787
device 3 | 10 run | time (s): 0.1799
device 5 | 10 run | time (s): 0.1799
Total time used (s): 2.0523
Total time used (s): 2.0891
Total time used (s): 2.0978
Total time used (s): 2.0954
Total time used (s): 2.0719
Total time used (s): 2.0779
