SUBGRAPH with N=48000 (6 of 8000x8000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 25600 kB
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
PE 0. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 0. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 0. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 0. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 0. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 0. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 1. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 1. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 1. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 1. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 1. Create subgraph with subN=2 (2 of 4000x4000 tiles)
PE 1. Create subgraph with subN=2 (2 of 4000x4000 tiles)
device 1 | 0 run | time (s): 2.3716
device 0 | 0 run | time (s): 2.4020
device 0 | 1 run | time (s): 2.4714
device 1 | 1 run | time (s): 2.4342
device 1 | 2 run | time (s): 2.4260
device 0 | 2 run | time (s): 2.4606
device 0 | 3 run | time (s): 2.4523
device 1 | 3 run | time (s): 2.4195
device 1 | 4 run | time (s): 2.4260
device 0 | 4 run | time (s): 2.4424
device 1 | 5 run | time (s): 2.4048
device 0 | 5 run | time (s): 2.4245
device 1 | 6 run | time (s): 2.3983
device 0 | 6 run | time (s): 2.4183
device 1 | 7 run | time (s): 2.4459
device 0 | 7 run | time (s): 2.4853
device 0 | 8 run | time (s): 2.4366
device 1 | 8 run | time (s): 2.4147
device 1 | 9 run | time (s): 2.4390
device 0 | 9 run | time (s): 2.4841
device 1 | 10 run | time (s): 2.4505
device 0 | 10 run | time (s): 2.4830
Total time used (s): 26.6305
Total time used (s): 26.9605
