TILED with N=60000 (6 of 10000x10000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 25600 kB
device 0 | 0 run | time (s): 8.4355
device 0 | 1 run | time (s): 8.4831
device 0 | 2 run | time (s): 8.5292
device 0 | 3 run | time (s): 8.5395
device 0 | 4 run | time (s): 8.5107
device 0 | 5 run | time (s): 8.5052
device 0 | 6 run | time (s): 8.4978
device 0 | 7 run | time (s): 8.4977
device 0 | 8 run | time (s): 8.5122
device 0 | 9 run | time (s): 8.5130
device 0 | 10 run | time (s): 8.5274
Total time used (s): 93.5512
