SUBGRAPH with N=12000 (6 of 2000x2000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 4 kB
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
device 1 | 0 run | time (s): 0.0450
device 3 | 0 run | time (s): 0.0495
device 2 | 0 run | time (s): 0.0619
device 0 | 0 run | time (s): 0.0632
device 1 | 1 run | time (s): 0.0541
device 2 | 1 run | time (s): 0.0541
device 0 | 1 run | time (s): 0.0578
device 3 | 1 run | time (s): 0.0520
device 3 | 2 run | time (s): 0.0520
device 1 | 2 run | time (s): 0.0576
device 2 | 2 run | time (s): 0.0586
device 0 | 2 run | time (s): 0.0686
device 1 | 3 run | time (s): 0.0616
device 2 | 3 run | time (s): 0.0487
device 3 | 3 run | time (s): 0.0493
device 0 | 3 run | time (s): 0.0530
device 3 | 4 run | time (s): 0.0620
device 1 | 4 run | time (s): 0.0520
device 2 | 4 run | time (s): 0.0605
device 0 | 4 run | time (s): 0.0681
device 2 | 5 run | time (s): 0.0573
device 1 | 5 run | time (s): 0.0573
device 3 | 5 run | time (s): 0.0549
device 0 | 5 run | time (s): 0.0657
device 1 | 6 run | time (s): 0.0592
device 3 | 6 run | time (s): 0.0620
device 2 | 6 run | time (s): 0.0520
device 0 | 6 run | time (s): 0.0769
device 1 | 7 run | time (s): 0.0750
device 3 | 7 run | time (s): 0.0620
device 2 | 7 run | time (s): 0.0850
device 0 | 7 run | time (s): 0.0757
device 2 | 8 run | time (s): 0.0457
device 1 | 8 run | time (s): 0.0620
device 3 | 8 run | time (s): 0.0569
device 0 | 8 run | time (s): 0.0532
device 2 | 9 run | time (s): 0.0526
device 1 | 9 run | time (s): 0.0388
device 0 | 9 run | time (s): 0.0530
device 3 | 9 run | time (s): 0.0494
device 1 | 10 run | time (s): 0.0620
device 3 | 10 run | time (s): 0.0620
device 2 | 10 run | time (s): 0.0538
device 0 | 10 run | time (s): 0.0631
Total time used (s): 0.6983
Total time used (s): 0.6119
Total time used (s): 0.6302
Total time used (s): 0.6245
