SUBGRAPH with N=12000 (6 of 2000x2000 tiles)
SM Limit per kernel = 100
cuBLAS workspace = 4 kB
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
src/modules/transport/ibrc/ibrc.cpp:nvshmemt_init:1850: neither nv_peer_mem, or nvidia_peermem detected. Skipping transport.

WARN: init failed for remote transport: ibrc
device 5 | 0 run | time (s): 0.0472
device 2 | 0 run | time (s): 0.0520
device 3 | 0 run | time (s): 0.0541
device 1 | 0 run | time (s): 0.0490
device 4 | 0 run | time (s): 0.0436
device 0 | 0 run | time (s): 0.0326
device 4 | 1 run | time (s): 0.0473
device 5 | 1 run | time (s): 0.0473
device 1 | 1 run | time (s): 0.0473
device 2 | 1 run | time (s): 0.0260
device 0 | 1 run | time (s): 0.0393
device 3 | 1 run | time (s): 0.0347
device 1 | 2 run | time (s): 0.0367
device 3 | 2 run | time (s): 0.0568
device 0 | 2 run | time (s): 0.0338
device 2 | 2 run | time (s): 0.0416
device 5 | 2 run | time (s): 0.0347
device 4 | 2 run | time (s): 0.0347
device 3 | 3 run | time (s): 0.0397
device 2 | 3 run | time (s): 0.0367
device 0 | 3 run | time (s): 0.0268
device 4 | 3 run | time (s): 0.0385
device 5 | 3 run | time (s): 0.0385
device 1 | 3 run | time (s): 0.0385
device 3 | 4 run | time (s): 0.0260
device 1 | 4 run | time (s): 0.0464
device 0 | 4 run | time (s): 0.0366
device 4 | 4 run | time (s): 0.0355
device 5 | 4 run | time (s): 0.0355
device 2 | 4 run | time (s): 0.0301
device 1 | 5 run | time (s): 0.0360
device 2 | 5 run | time (s): 0.0360
device 3 | 5 run | time (s): 0.0260
device 5 | 5 run | time (s): 0.0260
device 4 | 5 run | time (s): 0.0497
device 0 | 5 run | time (s): 0.0468
device 3 | 6 run | time (s): 0.0432
device 2 | 6 run | time (s): 0.0532
device 5 | 6 run | time (s): 0.0432
device 1 | 6 run | time (s): 0.0360
device 0 | 6 run | time (s): 0.0432
device 4 | 6 run | time (s): 0.0311
device 2 | 7 run | time (s): 0.0448
device 3 | 7 run | time (s): 0.0498
device 4 | 7 run | time (s): 0.0498
device 5 | 7 run | time (s): 0.0498
device 1 | 7 run | time (s): 0.0400
device 0 | 7 run | time (s): 0.0364
device 3 | 8 run | time (s): 0.0518
device 2 | 8 run | time (s): 0.0350
device 1 | 8 run | time (s): 0.0458
device 0 | 8 run | time (s): 0.0342
device 4 | 8 run | time (s): 0.0330
device 5 | 8 run | time (s): 0.0330
device 4 | 9 run | time (s): 0.0507
device 5 | 9 run | time (s): 0.0507
device 1 | 9 run | time (s): 0.0262
device 0 | 9 run | time (s): 0.0400
device 2 | 9 run | time (s): 0.0388
device 3 | 9 run | time (s): 0.0372
device 0 | 10 run | time (s): 0.0360
device 3 | 10 run | time (s): 0.0392
device 2 | 10 run | time (s): 0.0337
device 5 | 10 run | time (s): 0.0392
device 4 | 10 run | time (s): 0.0392
device 1 | 10 run | time (s): 0.0307
Total time used (s): 0.4585
Total time used (s): 0.4451
Total time used (s): 0.4532
Total time used (s): 0.4326
Total time used (s): 0.4280
Total time used (s): 0.4057
